FATALITY_ID,EVENT_ID,FATALITY_AGE,FATALITY_SEX,FATALITY_DATE,FATALITY_LOCATION,FATALITY_TYPE
41139,883016,12,F,3/3/2020,Permanent Home,D
41140,883016,65,M,3/3/2020,Mobile/Trailer Home,D
41141,883016,63,F,3/3/2020,Mobile/Trailer Home,D
41142,883016,36,F,3/3/2020,Permanent Home,D
41143,883016,68,M,3/3/2020,Permanent Home,D
41144,883016,34,F,3/3/2020,Mobile/Trailer Home,D
40520,867876,34,F,2/7/2020,Vehicle/Towed Trailer,I
40522,867881,80,M,2/7/2020,Vehicle/Towed Trailer,I
40552,868112,74,M,2/6/2020,Vehicle/Towed Trailer,D
40557,868267,32,F,2/9/2020,Vehicle/Towed Trailer,I
40775,868619,49,F,2/13/2020,Vehicle/Towed Trailer,D
40604,869330,65,M,2/11/2020,Outside/Open Areas,D
40607,869338,73,F,2/14/2020,Permanent Home,D
40608,869355,72,M,2/17/2020,Outside/Open Areas,D
40711,869390,73,M,2/14/2020,Vehicle/Towed Trailer,D
40749,869643,32,F,2/9/2020,Vehicle/Towed Trailer,D
40628,870187,44,M,2/22/2020,In Water,D
40650,870789,28,M,2/15/2020,Outside/Open Areas,D
40651,870789,30,M,2/15/2020,Outside/Open Areas,D
40664,871644,21,M,2/25/2020,Outside/Open Areas,D
40665,871646,32,M,2/10/2020,Outside/Open Areas,D
40746,871919,26,M,2/25/2020,Vehicle/Towed Trailer,I
40787,871967,61,F,2/6/2020,Unknown,D
40782,872848,19,M,2/7/2020,Vehicle/Towed Trailer,I
40683,872925,37,F,2/15/2020,Outside/Open Areas,D
40776,874819,30,F,2/9/2020,Vehicle/Towed Trailer,I
40777,875298,39,M,2/14/2020,Vehicle/Towed Trailer,I
40768,875856,45,M,2/13/2020,Vehicle/Towed Trailer,I
40769,875856,18,M,2/13/2020,Vehicle/Towed Trailer,I
40780,876089,41,M,2/12/2020,Vehicle/Towed Trailer,I
40767,876110,27,M,2/7/2020,Vehicle/Towed Trailer,I
40751,876151,25,M,2/6/2020,Vehicle/Towed Trailer,I
40773,877756,43,F,2/7/2020,Vehicle/Towed Trailer,I
40788,878823,,,2/4/2020,Vehicle/Towed Trailer,I
40797,879200,82,M,2/5/2020,Vehicle/Towed Trailer,D
40798,879214,64,M,2/13/2020,Vehicle/Towed Trailer,D
40799,879215,34,M,2/26/2020,Vehicle/Towed Trailer,I
40804,879903,27,M,2/15/2020,In Water,D
40525,865661,18,M,1/10/2020,Vehicle/Towed Trailer,I
40678,872072,24,M,1/26/2020,Vehicle/Towed Trailer,I
40770,877673,56,M,1/23/2020,Vehicle/Towed Trailer,I
40771,877673,56,F,1/23/2020,Vehicle/Towed Trailer,I
